"","ISSUENO","ISSUEDATE","ISSUETIME","VIODESCRIPTION","LOCATIONDESC1"
"674768",466240784,"11/29/12","8:22:00 PM","METER PARKING VIOLATION","920 N 12TH ST"
"207530",461239225,"4/10/12","1:02:00 PM","PARKED IN EXCESS OF 2 HOURS PROHIBITED","3205 N NEWHALL ST"
"637514",465764165,"11/8/12","2:38:00 AM","NIGHT PARKING - WRONG SIDE","2614 W MITCHELL ST"
"660706",465893816,"11/20/12","2:35:00 AM","NIGHT PARKING","4424 N 63RD ST"
"230275",461588326,"4/21/12","12:38:00 PM","METER PARKING VIOLATION","2943 N OAKLAND ST"
"21122",459121040,"1/10/12","4:05:00 PM","METER PARKING VIOLATION","1109 W KILBOURN ST"
"169823",460724110,"3/21/12","11:09:00 AM","METER PARKING VIOLATION","224 W WISCONSIN AVE"
"101577",460330780,"2/17/12","12:31:00 PM","PARKED IN EXCESS OF 3 HOURS PROHIBITED","2900 N MARYLAND AVE"
"426804",463698130,"7/28/12","5:51:00 AM","NIGHT PARKING - WRONG SIDE","1932 N 51ST ST"
"196359",461211542,"4/4/12","4:49:00 AM","NIGHT PARKING - WRONG SIDE","4166 N 39TH ST"
"635270",465750025,"11/7/12","5:42:00 PM","METER PARKING VIOLATION","1127 N WATER ST"
"228006",461454980,"4/20/12","5:40:00 AM","NIGHT PARKING - WRONG SIDE","2460 N 38TH ST"
"607940",465265964,"10/25/12","9:21:00 PM","UNREGISTERED/ IMPROPERLY REGISTERED VEHICLE","2655 N 47TH ST"
"209980",461398825,"4/11/12","1:49:00 PM","PARKED IN EXCESS OF 2 HOURS PROHIBITED","1620 N 10TH ST"
"533466",464709663,"9/19/12","5:29:00 PM","METER PARKING VIOLATION","423 E ST PAUL AVE"
"362803",463018522,"6/25/12","11:39:00 AM","METER PARKING VIOLATION","522 N PLANKINTON AV"
"727828",466459210,"12/22/12","2:22:00 AM","NIGHT PARKING - WRONG SIDE","832 W OHIO AVE"
"177558",461044463,"3/26/12","2:49:00 AM","NIGHT PARKING - WRONG SIDE","3022 W PIERCE ST"
"425946",463618573,"7/27/12","5:01:00 AM","NIGHT PARKING","2656 N 48TH ST"
"431098",463651300,"7/31/12","4:21:00 AM","NIGHT PARKING","3072 S 47TH ST"
"446478",463892122,"8/8/12","10:07:00 PM","IMPROPERLY DISPLAYED VEHICLE REGISTRATION","2956 N 52 ST"
"395233",463333920,"7/11/12","2:52:00 AM","NIGHT PARKING","2971 N NEWHALL ST"
"176842",461048991,"3/24/12","6:29:00 AM","PARKED LESS THAN 15 FEET FROM CROSSWALK","2701 S 15TH ST"
"571341",465051786,"10/6/12","3:39:00 AM","NIGHT PARKING","2927 N CRAMER ST"
"688896",466262112,"12/5/12","2:47:00 AM","NIGHT PARKING - WINTER RESTRICTED","1570 S 6TH ST"
"14570",459442620,"1/7/12","5:00:00 AM","NIGHT PARKING","547 N 20TH ST"
"608649",465574793,"10/25/12","2:23:00 PM","METER PARKING VIOLATION","606 E MICHIGAN ST"
"323603",462586246,"6/5/12","5:00:00 AM","NIGHT PARKING","2772 N 41ST ST"
"16043",662368453,"1/8/12","1:04:00 AM","PARKING PROHIBITED BY OFFICIAL SIGN","703 N 24TH ST"
"162445",460857810,"3/17/12","5:40:00 AM","NIGHT PARKING - WRONG SIDE","3421 N 9TH ST"
"451241",463375043,"8/9/12","3:38:00 AM","NIGHT PARKING","3414 N 47TH ST"
"284719",461944943,"5/16/12","3:25:00 PM","METER PARKING VIOLATION","741 N 9TH ST"
"123005",460255180,"2/28/12","5:39:00 AM","NIGHT PARKING - WRONG SIDE","3450 N 95TH ST"
"380588",463278546,"7/3/12","2:44:00 AM","NIGHT PARKING","2926 N NEWHALL ST"
"377506",462990850,"7/2/12","12:33:00 PM","PARKED LESS THAN 15 FEET FROM CROSSWALK","305 E ST PAUL AVE"
"665474",466096713,"11/23/12","4:04:00 PM","METER PARKING VIOLATION","329 W MICHIGAN ST"
"730015",466022524,"12/24/12","7:25:00 PM","PARKING PROHIBITED BY OFFICIAL SIGN","3317 W GALENA ST"
"576223",465070616,"10/9/12","9:12:00 PM","PARKED POSTED PRIVATE PROPERTY","1101 N MARKET ST"
"139683",460791903,"3/7/12","2:56:00 AM","NIGHT PARKING","3016 E KENWOOD BLVD"
"675893",466091975,"11/29/12","1:55:00 PM","METER PARKING VIOLATION","1921 N FARWELL AVE"
"467188",464043554,"8/17/12","4:35:00 AM","NIGHT PARKING","622 E CONWAY ST"
"131182",460524466,"3/2/12","12:09:00 PM","METER PARKING VIOLATION","800 W STATE ST AVE"
"685092",466281001,"12/4/12","4:48:00 AM","NIGHT PARKING - WRONG SIDE","432 S 89TH ST"
"497065",464381610,"9/1/12","3:47:00 AM","NIGHT PARKING - WRONG SIDE","4110 W ROOSEVELT DR"
"233606",461646054,"4/23/12","2:14:00 AM","NIGHT PARKING - WRONG SIDE","3405 W GREENFIELD AVE"
"547521",464834720,"9/25/12","4:56:00 AM","NIGHT PARKING - WRONG SIDE","3025 S 33RD ST"
"740089",466742592,"12/29/12","5:06:00 AM","NIGHT PARKING - WRONG SIDE","1129 E MEINECKE AVE"
"186171",459812920,"3/29/12","2:12:00 PM","METER PARKING VIOLATION","1215 W VLIET ST"
"450224",464005905,"8/9/12","7:31:00 AM","RESIDENTIAL PARKING PROGRAM","3054 N BARTLETT AVE"
"131022",460507493,"3/2/12","10:46:00 AM","METER PARKING VIOLATION","713 N BROADWAY"
"135075",460591051,"3/5/12","10:13:00 PM","FAILURE TO PARK IN DEFINED ANGLE SPACE","903 E KILBOURN AVE"
"542538",464631904,"9/22/12","11:16:00 AM","METER PARKING VIOLATION","2319 E KENWOOD BLVD"
"7640",459095431,"1/5/12","5:50:00 AM","NIGHT PARKING","4456 N 28TH ST"
"360077",462896302,"6/22/12","2:32:00 AM","NIGHT PARKING","2636 S 9TH PL"
"619750",465624714,"10/31/12","12:34:00 PM","METER PARKING VIOLATION","714 E STATE ST"
"709936",466007581,"12/13/12","3:50:00 AM","NIGHT PARKING - WRONG SIDE","1629 W BURNHAM ST"
"42397",459583235,"1/23/12","5:37:00 PM","PARKED IN EXCESS OF 1 HOUR PROHIBITED","1571 W EUCLID AVE"
"563900",464729160,"10/3/12","5:52:00 AM","NIGHT PARKING - WRONG SIDE","2523 S LOGAN AVE"
"480161",464266434,"8/24/12","5:34:00 AM","NIGHT PARKING","358 E BECHER ST"
"115868",460458331,"2/24/12","2:16:00 PM","METER PARKING VIOLATION","816 N 7TH ST ST"
"55075",459549230,"1/27/12","3:51:00 AM","NIGHT PARKING","1314 S 22 ST"
"428115",463537104,"7/30/12","4:55:00 AM","NIGHT PARKING","1255 N 45TH ST"
"113577",460327906,"2/23/12","8:00:00 AM","PARKING PROHIBITED BY OFFICIAL SIGN","3249 S PENNSYLVANIA AVE"
"724243",466434732,"12/20/12","2:45:00 AM","NIGHT PARKING - WRONG SIDE","2924 N BOOTH ST"
"712494",466637916,"12/14/12","7:56:00 AM","RESIDENTIAL PARKING PROGRAM","3226 N BARTLETT AVE"
"485528",464189025,"8/27/12","2:57:00 PM","PARKED IN EXCESS OF 2 HOURS PROHIBITED","904 E KILBOURN AVE"
"585567",465065484,"10/13/12","1:55:00 PM","PARKED IN EXCESS OF 2 HOURS PROHIBITED","311 E BUFFALO ST"
"552259",464871072,"9/27/12","5:30:00 PM","METER PARKING VIOLATION","508 E WISCONSIN AVE"
"315228",462446180,"5/31/12","5:25:00 PM","METER PARKING VIOLATION","120 E HIGHLAND AVE"
"441890",463906203,"8/6/12","4:35:00 PM","METER PARKING VIOLATION","727 N PLANKINTON AV"
"447026",463833215,"8/8/12","2:55:00 AM","NIGHT PARKING","4139 N 69TH ST"
"291259",462357372,"5/18/12","5:53:00 AM","NIGHT PARKING - INELIGIBLE VEHICLE","2589 N FARWELL AVE"
"585064",464924736,"10/13/12","2:44:00 AM","NIGHT PARKING","1416 N DR. M.L. KING JR. DR"
"436050",463509675,"8/2/12","2:57:00 AM","NIGHT PARKING","521 N 32ND ST"
"238322",461486594,"4/25/12","2:59:00 AM","NIGHT PARKING","3472 S 91ST ST"
"307586",462153904,"5/26/12","2:12:00 PM","METER PARKING VIOLATION","2224 S KINNICKINNIC AVE"
"517604",464532165,"9/11/12","1:58:00 PM","PARKED IN EXCESS OF 2 HOURS PROHIBITED","811 E KNAPP ST"
"42750",459687056,"1/23/12","8:54:00 AM","METER PARKING VIOLATION","2311 N PROSPECT AVE"
"232291",461043866,"4/23/12","1:02:00 PM","METER PARKING VIOLATION","636 N 2ND ST"
"672770",465934652,"11/28/12","5:42:00 AM","NIGHT PARKING","1239 E CRAWFORD AVE"
"721057",466225270,"12/19/12","12:14:00 PM","METER PARKING VIOLATION","745 N 9TH ST"
"196305",461290524,"4/4/12","11:33:00 AM","PARKED WRONG DIRECTION","2502 E WEBSTER PL"
"242560",461191916,"4/27/12","1:44:00 PM","METER PARKING VIOLATION","824 N JEFFERSON ST"
"573815",465080346,"10/8/12","4:31:00 AM","NIGHT PARKING - WRONG SIDE","3808 N 38TH ST"
"107494",460340510,"2/21/12","3:48:00 AM","NIGHT PARKING - WRONG SIDE","1655 S 20 ST"
"91363",460183253,"2/14/12","3:02:00 AM","NIGHT PARKING","8609 N 106TH ST"
"253280",461956740,"5/2/12","4:04:00 AM","NIGHT PARKING","3171 N RICHARDS ST"
"474",458969862,"1/2/12","1:01:00 PM","PARKED IN EXCESS OF 2 HOURS PROHIBITED","1551 E BRADY ST"
"196280",461169133,"4/4/12","4:34:00 AM","NIGHT PARKING - WRONG SIDE","706 N 32ND ST"
"436989",463300891,"8/2/12","2:41:00 AM","NIGHT PARKING - WRONG SIDE","2458 N 54TH ST"
"192671",460913725,"4/2/12","2:16:00 AM","NIGHT PARKING - WRONG SIDE","3770 S 2ND ST"
"414465",463441156,"7/21/12","4:43:00 PM","PARKED IN EXCESS OF 2 HOURS PROHIBITED","154 N JEFFERSON ST"
"270713",461888195,"5/9/12","4:45:00 PM","METER PARKING VIOLATION","343 N BROADWAY"
"428542",463497753,"7/30/12","12:42:00 PM","METER PARKING VIOLATION","3130 N DOWNER AVE"
"372620",463001486,"6/29/12","12:57:00 PM","METER PARKING VIOLATION","302 W WELLS ST"
"117879",459221943,"2/25/12","11:26:00 PM","PARKED WRONG DIRECTION","535 W BRUCE ST"
"52147",459765165,"1/26/12","5:26:00 AM","NIGHT PARKING","2715 W FAIRMOUNT AVE"
"25171",459520725,"1/12/12","1:03:00 PM","METER PARKING VIOLATION","1033 N OLD WORLD THIRD STREET"
"136259",460537792,"3/5/12","1:45:00 PM","METER PARKING VIOLATION","830 N MILWAUKEE ST"
"608677",465327225,"10/25/12","2:39:00 PM","PARKED IN EXCESS OF 2 HOURS PROHIBITED","1710 N PROSPECT AVE"
"221198",461636490,"4/17/12","5:20:00 AM","NIGHT PARKING","1901 N SUMMIT AVE"
"503078",464275276,"9/5/12","12:32:00 PM","METER PARKING VIOLATION","725 N 8TH ST"
"130677",460394620,"3/2/12","3:16:00 AM","NIGHT PARKING","3805 W CUSTER AVE"
"531946",464433196,"9/18/12","7:11:00 AM","IMPROPERLY DISPLAYED VEHICLE REGISTRATION","4251 N 84TH ST"
"554496",464891453,"9/28/12","6:04:00 AM","VEH FOR SALE ON PUBLIC PROPERTY","2826 S ELLEN ST"
"706619",466460120,"12/12/12","2:23:00 AM","NIGHT PARKING - WINTER RESTRICTED","2412 N 35TH ST"
"65077",459724252,"2/1/12","3:03:00 AM","NIGHT PARKING - WRONG SIDE","7418 W CARMEN AVE"
"223469",461477450,"4/18/12","12:57:00 PM","METER PARKING VIOLATION","504 E KILBOURN AV"
"53731",459800202,"1/27/12","2:51:00 AM","NIGHT PARKING - WRONG SIDE","1139 S 34 ST"
"139746",460552315,"3/7/12","2:13:00 AM","NIGHT PARKING - WRONG SIDE","1603 N 57TH ST"
"262467",461887042,"5/7/12","5:11:00 AM","NIGHT PARKING","3672 S HERMAN ST"
"105864",460180582,"2/20/12","1:31:00 PM","PARKING PROHIBITED BY OFFICIAL SIGN","1800 E LINNWOOD AVE"
"402165",463354975,"7/16/12","8:51:00 PM","PARKING PROHIBITED BY OFFICIAL SIGN","1517 W GRANGE AVE"
"555490",464706340,"9/28/12","5:56:00 AM","NIGHT PARKING - WRONG SIDE","4628 W HADLEY ST"
"289089",462240321,"5/18/12","3:34:00 AM","NIGHT PARKING","3432 N FRATNEY ST"
"669874",466062472,"11/27/12","10:23:00 AM","PARKED WITHIN 10 FEET OF FIRE HYDRANT","1325 W ST PAUL AVE"
"251736",461776921,"5/2/12","1:30:00 PM","PARKED IN EXCESS OF 2 HOURS PROHIBITED","3956 N 65TH ST"
"485862",463793212,"8/27/12","10:21:00 AM","PARKED IN EXCESS OF 1 HOUR PROHIBITED","1138 N 9TH ST"
"409015",463544616,"7/19/12","2:07:00 AM","NIGHT PARKING - WRONG SIDE","3341 S 99TH CT"
"208331",461236182,"4/10/12","5:24:00 AM","NIGHT PARKING - WRONG SIDE","1528 W CLARKE ST"
"74945",459783962,"2/6/12","1:50:00 PM","PARKED IN EXCESS OF 2 HOURS PROHIBITED","2707 S 14 ST"
"615440",465582795,"10/30/12","12:27:00 PM","IMPROPERLY DISPLAYED VEHICLE REGISTRATION","2623 E BELLEVIEW PL"
"395889",463201266,"7/12/12","5:26:00 PM","TOW-AWAY ZONE (POSTED)","240 N BROADWAY"
"685071",466029900,"12/4/12","5:16:00 AM","NIGHT PARKING - WRONG SIDE","902 E WELLS ST"
"690199",466304661,"12/5/12","5:14:00 AM","NIGHT PARKING - WRONG SIDE","1217 S 21ST ST"
"526421",464704903,"9/15/12","2:17:00 AM","NIGHT PARKING - WRONG SIDE","4443 N 46TH ST"
"631652",465704665,"11/6/12","2:22:00 AM","NIGHT PARKING - WRONG SIDE","3304 W GREENFIELD AVE"
"499251",464395595,"9/4/12","1:44:00 PM","METER PARKING VIOLATION","821 E WELLS ST"
"278598",462213135,"5/14/12","12:59:00 PM","METER PARKING VIOLATION","525 N JEFFERSON ST"
"307988",462488003,"5/26/12","3:54:00 AM","NIGHT PARKING","5273 N LOVERS LANE RD"
"479754",463930924,"8/24/12","3:46:00 PM","METER PARKING VIOLATION","410 W NATIONAL AVE"
"353482",462920054,"6/20/12","2:14:00 AM","NIGHT PARKING","3805 W GALENA ST"
"717261",466712363,"12/18/12","9:08:00 AM","METER PARKING VIOLATION","525 CHICAGO ST"
"546836",464872446,"9/25/12","4:02:00 AM","NIGHT PARKING - WRONG SIDE","4162 S LOGAN AVE"
"561691",464894673,"10/2/12","2:20:00 PM","METER PARKING VIOLATION","935 N BROADWAY"
"233223",461686595,"4/23/12","11:12:00 AM","METER PARKING VIOLATION","3076 N FARWELL AVE"
"724066",466434953,"12/20/12","3:52:00 AM","NIGHT PARKING - WRONG SIDE","216 W BROWN ST"
"627424",465407946,"11/3/12","2:50:00 AM","NIGHT PARKING","4420 N 69TH ST"
"530042",464776115,"9/18/12","5:10:00 AM","NIGHT PARKING","1214 W WALKER ST"
"398207",462706635,"7/13/12","6:38:00 AM","TOW-AWAY ZONE (BLOCKING TRAFFIC)","2224 S 35TH ST"
"320360",462253481,"6/3/12","11:09:00 AM","FAILURE TO PARK IN DEFINED ANGLE SPACE","1138 S 7 ST"
"610923",465490200,"10/26/12","4:28:00 AM","NIGHT PARKING - WRONG SIDE","9400 W MELVINA ST"
"90191",460095786,"2/13/12","3:37:00 AM","NIGHT PARKING","2122 W KILBOURN AVE"
"130893",460579884,"3/2/12","7:27:00 AM","IMPROPERLY DISPLAYED VEHICLE REGISTRATION","1363 N 54TH ST"
"318916",462279425,"6/2/12","3:43:00 AM","NIGHT PARKING","189 N 75TH ST"
"340241",462770685,"6/13/12","10:49:00 PM","IMPROPERLY DISPLAYED VEHICLE REGISTRATION","1903 E PARK PL"
"343396",462810084,"6/14/12","5:13:00 AM","NIGHT PARKING - WRONG SIDE","2420 N 41ST ST"
"578832",465324263,"10/10/12","7:20:00 AM","PARKED LESS THAN 15 FEET FROM CROSSWALK","1733 W KILBOURN AVE"
"50486",459644566,"1/26/12","4:22:00 PM","METER PARKING VIOLATION","1610 W WISCONSIN AVE"
"358180",462823922,"6/22/12","5:05:00 AM","NIGHT PARKING","2013 N 40TH ST"
"94533",460108714,"2/15/12","12:39:00 AM","PARKED LESS THAN 15 FEET FROM CROSSWALK","732 E KNAPP ST"
"673304",466069240,"11/28/12","8:47:00 PM","METER PARKING VIOLATION","1547 N FARWELL AVE"
"301544",462163074,"5/24/12","11:35:00 AM","PARKED IN EXCESS OF 2 HOURS PROHIBITED","2800 N FARWELL AVE"
"16366",459386524,"1/9/12","4:00:00 AM","NIGHT PARKING","220 W MAPLE ST"
"720509",466684212,"12/19/12","3:22:00 AM","NIGHT PARKING - WRONG SIDE","2111 E FERNWOOD AVE"
"602182",465389875,"10/23/12","11:22:00 AM","METER PARKING VIOLATION","257 E WELLS ST"
"69421",459951645,"2/3/12","10:55:00 AM","METER PARKING VIOLATION","420 E MENOMONEE ST"
"695362",466368571,"12/7/12","6:08:00 AM","PARKING PROHIBITED BY OFFICIAL SIGN","3034 N 23RD ST"
"677748",466137103,"11/30/12","1:42:00 PM","METER PARKING VIOLATION","418 E KILBOURN AV"
"493703",464383710,"8/30/12","12:37:00 PM","METER PARKING VIOLATION","224 E ST PAUL AV"
"342334",462643694,"6/13/12","1:27:00 PM","PARKED IN EXCESS OF 2 HOURS PROHIBITED","770 N WATER ST"
"82916",460015625,"2/9/12","4:50:00 AM","NIGHT PARKING","3278 N DOUSMAN ST"
"351299",462864581,"6/19/12","5:37:00 PM","METER PARKING VIOLATION","443 E COCORAN ST"
"118077",460366852,"2/25/12","2:49:00 AM","NIGHT PARKING - WRONG SIDE","2547 N 56TH ST"
"432548",463702105,"8/1/12","5:34:00 AM","NIGHT PARKING - WRONG SIDE","1860 N 40TH ST"
"144501",460351802,"3/8/12","2:49:00 AM","NIGHT PARKING - WRONG SIDE","2916 S HERMAN ST"
"11126",459401342,"1/6/12","3:44:00 AM","NIGHT PARKING","2915 W CHERRY ST"
"733407",466792642,"12/27/12","5:44:00 AM","NIGHT PARKING - WINTER RESTRICTED","3726 W GREEN TREE RD"
"520538",464573266,"9/12/12","9:33:00 PM","METER PARKING VIOLATION","2353 N FARWELL LOT"
"364264",463132235,"6/26/12","3:04:00 AM","NIGHT PARKING","2951 N CRAMER ST"
"383764",463192446,"7/6/12","1:01:00 PM","METER PARKING VIOLATION","604 W WISCONSIN AVE"
"301033",462295245,"5/23/12","2:41:00 PM","METER PARKING VIOLATION","423  E ST PAUL AVE"
"339860",462616490,"6/13/12","5:03:00 PM","METER PARKING VIOLATION","222 W STATE ST"
"274304",461923571,"5/11/12","4:47:00 AM","NIGHT PARKING","2480 S SUPERIOR ST"
"678135",466209995,"11/30/12","4:35:00 AM","NIGHT PARKING","1310 S 10TH ST"
"543704",464759805,"9/24/12","4:56:00 AM","NIGHT PARKING","2425 S 30TH ST"
"297937",462105210,"5/22/12","2:51:00 AM","NIGHT PARKING","5131 N 63 ST"
"468065",463676780,"8/18/12","3:09:00 AM","NIGHT PARKING - WRONG SIDE","3882 N 5TH ST"
"534108",464655472,"9/19/12","3:57:00 AM","NIGHT PARKING","2237 S 26TH ST"
"513330",464445881,"9/10/12","2:51:00 AM","NIGHT PARKING - WRONG SIDE","4802 W LLOYD ST"
"155270",460784995,"3/14/12","4:45:00 AM","NIGHT PARKING","4975 N 58TH ST"
"508398",464241105,"9/7/12","10:33:00 AM","METER PARKING VIOLATION","780 N MILWAUKEE ST"
"703711",466518916,"12/11/12","4:01:00 AM","NIGHT PARKING - WRONG SIDE","2809 W MELVINA ST"
"725659",466141045,"12/21/12","7:42:00 PM","METER PARKING VIOLATION","1710 N ARLINGTON PL"
"693325",466257374,"12/6/12","1:41:00 PM","METER PARKING VIOLATION","742 N 4TH ST"
"208182",461398464,"4/10/12","5:00:00 AM","NIGHT PARKING - WRONG SIDE","510 E LINCOLN AVE"
"444272",463806733,"8/7/12","3:50:00 AM","NIGHT PARKING - WRONG SIDE","4201 N 26TH ST"
"684916",466186943,"12/4/12","5:41:00 AM","NIGHT PARKING - WRONG SIDE","1030 N JACKSON ST"
"114276",460350763,"2/23/12","3:06:00 PM","PARKED IN SCHOOL ZONE","2930 N 52ND ST"
"242511",461341996,"4/27/12","1:07:00 AM","PARKED WITHIN 4 FEET OF DRIVE OR ALLEY","1810 E WEBSTER PL"
"623145",465443985,"11/1/12","5:49:00 AM","NIGHT PARKING - WRONG SIDE","2854 N 77TH ST"
"570121",465042130,"10/5/12","4:06:00 AM","NIGHT PARKING","526 E LINCOLN AVE"
"238635",461700584,"4/25/12","12:55:00 AM","PARKED LESS THAN 15 FEET FROM CROSSWALK","2000 S 21 ST"
"436139",463780295,"8/2/12","3:44:00 AM","NIGHT PARKING - WRONG SIDE","2906 S LOGAN AVE"
"185253",461056982,"3/29/12","4:16:00 AM","NIGHT PARKING - WRONG SIDE","2663 N 2ND ST"
"206743",461358446,"4/9/12","8:58:00 AM","METER PARKING VIOLATION","734 N BROADWAY ST"
"411237",463426014,"7/20/12","8:32:00 PM","PARKED POSTED PRIVATE PROPERTY","1220 E LOCUST ST"
"419266",463536684,"7/25/12","4:21:00 AM","NIGHT PARKING","1005 E LOCUST ST"
"102491",460257803,"2/18/12","4:32:00 AM","NIGHT PARKING - WRONG SIDE","3606 N 14TH ST"
"452581",463969155,"8/10/12","4:02:00 AM","NIGHT PARKING","205 E MASON ST"
"61773",459765865,"1/31/12","5:04:00 AM","NIGHT PARKING - WRONG SIDE","2625 W JUNEAU AVE"
